GENE,CONDITION,INHERITANCE,AGE GROUP,MANIFESTATION CATEGORIES,INTERVENTION/RATIONALE,REFERENCES
BCL11B,"Immunodeficiency 49; Intellectual developmental disorder with speech delay, dysmorphic facies, and T-cell abnormalities",AD,Pediatric,Allergy/Immunology/Infectious; Craniofacial; Dental; Dermatologic; Neurologic; Musculoskeletal,"Among other features, individuals have been described as susceptible to severe or frequent infections, and awareness may allow preventative measures and early and aggressive treatment of infections; In Immunodeficiency 49, HSCT has been described",27959755; 29985992
BCO1,"Hypercarotenemia and vitamin A deficiency, autosomal dominant",AD,Pediatric,Biochemical,"Dietary precautions may be beneficial, as individuals may have manifestations of hypercarotenemia/hypovitaminosis A with a carotenoid-containing/retinol-inadequate diet",5453458; 17951468
BCOR,"Microphthalmia, syndromic 2 (Oculofaciocardiodental syndrome)",XL,N/A,Cardiovascular; Craniofacial; Dental; Gastrointestinal; Genitourinary; Ophthalmologic; Musculoskeletal; Renal,"The condition can include cardiovascular, renal, and other anomalies; Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",13963827; 1225823; 10069716; 15004558; 15770227; 15957158; 20301694; 21740180; 22301464 
BCORL1,Shukla-Vernon syndrome,XL,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24123876; 30941876
BCR,"CML treatment, response to",AD,Pediatric,General,"Variants may confer resistance to certain medications (eg, dasatinib); Certain variants appear to confer STI571 resistance in CML treatment",11423618; 12654249; 14534339; 17684099 
BCS1L,Bjornstad syndrome,AR,Pediatric,Audiologic/Otolaryngologic; Biochemical; Dermatologic; Gastrointestinal; Genitourinary; Neurologic; Ophthalmologic; Renal,"Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development; It has been suggested that  that stapes surgery should not be performed due to a high likelihood of complications (the use of cochlear implants has been reported as beneficial)",9482441; 10654962; 7577396; 10654962; 11528392; 12215968; 12910490; 17314340; 17403714; 19162478; 19389488; 19508421; 20580947; 20518024; 20472482; 22277166; 22991165 
BDNF,"Central hypoventilation syndrome, congenital",AD,Pediatric,Neurologic,Early recognition and interventions to support ventilation (as well as avoidance of exacerbating factors) can reduce morbidity and mortality,10390427; 11840487; 20301600 
BDP1,"Deafness, autosomal recessive 112",AR,N/A,Audiologic/Otolaryngologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24312468
BEAN1,Spinocerebellar ataxia 31,AD,N/A,Audiologic/Otolaryngologic; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",17611710; 19878914
BEST1,Vitreoretinochoroidopathy,AD,Adult,Ophthalmologic,"Findings such as glaucoma and retinal detachment have been described, and surveillance and early treatment (eg, direct laser photocoagulation and anti-vascular endothelial growth factors for choroidal neovascularization and hemorrhage), as well as preventive measures, may be beneficial; Agents that may contribute to glaucoma, as well as smoking, should be avoided",13546939; 838599; 7065944; 6689931; 8431155; 9662395; 10453731; 10331951; 10854112; 10737974; 11585313; 12543751; 15452077; 16458719; 16678511; 17698758; 17591911; 18179881; 18611979; 19853238; 20057903; 20301346; 20375334; 20847757; 21192766; 21320969; 22422030; 22584882; 22633354; 23290749; 23572118; 23765342; 23823511; 24345323
BFSP1,Cataract 33,AR,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",17225135
BFSP2,"Cataract 12, multiple types",AD/AR,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",10729115; 10739768; 10634598; 15570218; 17982427; 18958306; 21836522 
BGN,Meester-Loeys syndrome,XL,Pediatric,Cardiovascular; Craniofacial; Musculoskeletal; Neurologic,"Among other features, the condition can include early-onset aortic aneurysm, and awareness may allow erly diagnosis and management",8064814; 27236923; 27632686
BHLHA9,"Camptopolysyndactyly, complex; Syndactyly, mesoaxial synostotic, with phalangeal reduction",AR,N/A,Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",9783716; 10096595; 15039974; 15779011; 25466284; 27041388
BHLHE41,"Short sleeper, familial natural, 1",AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",19679812
BICC1,"Renal dysplasia, cystic, susceptibility to",AD,Pediatric,Renal,"Sequelae can include vesicoureteral reflux, and early diagnosis could be helpful to institute measures to preserve kidney function",21922595
BICD2,"Spinal muscular atrophy, lower extremity-predominant, 2A, childhood onset, autosomal dominant; Spinal muscular atrophy, lower extremity-predominant, 2B, prenatal onset, autosomal dominant",AD,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23664116; 23664119; 23664120; 27751653; 28635954; 30054298
BIN1,"Myopathy, centronuclear, 2",AR,N/A,Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",17676042; 20142620; 22392505 
BLK,"Maturity-onset diabetes of the young, type 11",AD,N/A,Endocrine,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",19667185
BLM,Bloom syndrome,AR,Pediatric,Allergy/Immunology/Infectious; Dermatologic; Endocrine; Gastrointestinal; Musculoskeletal; Neurologic; Oncologic; Pulmonary,"Surveillance and early diagnosis of malignancy could potentially be beneficial; Avoidance of ionizing radiation/DNA-damaging chemicals (as well as sun exposure) can reduce morbidity; Individuals may be susceptible to infections, and prompt treatment, as well as control of gastroesophageal reflux, which can be contributory, can be beneficial",5923432; 7386453; 7273457; 6705251; 3040954; 3808032; 3808031; 2721026; 1809225; 7585968; 8875252; 9062585; 9285778; 10464606; 11477604; 12242432; 15137905; 17407155; 18471088; 18974064; 20301572; 21815139; 22514588; 23028338; 23443610; 24118499
BLNK,Agammaglobulinemia 4,AR,Pediatric,Allergy/Immunology/Infectious,"Individuals can have immunodeficiency (which can involve frequent and severe infections, including reports of lethal bacterial sepsis) related to agammaglobulinemia, and antiinfectious prophylaxis (IVIG has been reported to be beneficial) and early and aggressive treatment of infections may be beneficial",10583958
BLOC1S3,Hermansky-Pudlak syndrome 8,AR,Pediatric,Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Ophthalmologic,"Prevention and treatment of bleeding episodes (eg, with DDAVP or platelet/RBC transfusions) can be effective, and aspirin-containing products should be avoided; Skin surveillance and protection can be beneficial; Surveillance related to ophthalmologic and other manifestations has been recommended in all individuals with HPS",16385460; 20301464 
BLOC1S5,Hermansky-Pudlak syndrome 11,AR,Pediatric,Allergy/Immunology/Infectious; Dermatologic; Hematologic; Ophthalmologic,"Prevention and treatment of bleeding episodes (eg, with DDAVP or platelet/RBC transfusions) can be effective, and aspirin-containing products should be avoided; Skin surveillance and protection can be beneficial; Surveillance related to ophthalmologic and other manifestations has been recommended in all individuals with HPS",32565547
BLOC1S6,Hermansky-Pudlak syndrome 9,AR,Pediatric,Allergy/Immunology/Infectious; Dermatologic; Gastrointestinal; Hematologic; Ophthalmologic,"Prevention and treatment of bleeding episodes (eg, with DDAVP or platelet/RBC transfusions) can be effective, and aspirin-containing products should be avoided; Skin surveillance and protection can be beneficial; Surveillance related to ophthalmologic and other manifestations has been recommended in all individuals with HPS",21665000; 20301464; 22461475
BLVRA,Hyperbiliverdinemia,AD/AR,N/A,Gastrointestinal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",19580635; 19699374; 21278388
BMP1,"Osteogenesis imperfecta, type XIII",AR,N/A,Craniofacial; Musculoskeletal; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",22052668; 22482805
BMP15,Ovarian dysgenesis 2,XL,Pediatric,Endocrine; Genitourinary; Obstetric,Genetic knowledge may allow reproductive capabilities such as via egg preservation,15136966; 16508750; 19263482
BMP2,"Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies",AD,Pediatric,Cardiovascular; Craniofacial; Musculoskeletal,"Among other features, the condition can involve arrhythmias, and awareness can allow early diagnosis and management",7390514; 19327734; 21357617; 29198724
BMP4,"Microphthalmia, syndromic 6; Orofacial cleft 11",AD,N/A,Craniofacial; Endocrine; Musculoskeletal; Neurologic; Renal; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",18252212; 18305125; 19249007; 21340693
BMPER,Diaphanospondylodysostosis,AR,N/A,Craniofacial; Musculoskeletal; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",20869035; 30006055
BMPR1A,"Polyposis syndrome, hereditary mixed, 2; Polyposis, juvenile intestinal",AD,Pediatric,Oncologic,"Surveillance (eg, with colonoscopy and endoscopic polypectomy, as well upper endoscopy for symptomatic individuals, and monitoring for sequelae including anemia and rectal bleeding) may be beneficial, though partial/total colectomy/gastrectomy may be indicated in some individuals with a large polyp burden; Indivduals may have a variety of HHT-related vascular complications, including arteriovenous malformations, aortic dilatation, and bleeding diatheses, and surveillance and early intervention related to manifestations (eg, related to thromboembolism or hepatic disease) may decrease morbidity and mortality",5483654; 4544011; 7059958; 3707330; 8037173; 7582207; 11381269; 12136244; 15235019; 16152648; 16525031; 17873119; 20843829; 22171123;  22810475 
BMPR1B,"Acromesomelic dysplasia, Demirhan type; Brachydactyly, type A1, D; Brachydactyly A2; Brachydactyly C/Symphalangism-like phenotype",AD/AR,N/A,Genitourinary; Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",14523231; 15805157; 16957682; 24129431; 25758993; 26105076
